linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
22,76.000 €,45.896201818725,16.839057131481,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,3.,45,https://www.njuskalo.hr/nekretnine/stan-bjelovar-45.00-m2-oglas-41737877,1,
23,159.000 €,45.89946770280464,16.85908179961371,Bjelovar,U stambenoj zgradi,Jednoetažni,4-sobni,,145,https://www.njuskalo.hr/nekretnine/stan-bjelovar-vinkovicevo-naselje-110m2-terasa-25m2-garaza-oglas-42204438,1,
24,84.000 €,45.9049226,16.8399284,Bjelovar,U stambenoj zgradi,Jednoetažni,1-sobni,Potkrovlje,45,https://www.njuskalo.hr/nekretnine/bjelovar-stan-45.35-m2-oglas-41986095,1,
25,106.000 €,45.9039921,16.8524892,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,79,https://www.njuskalo.hr/nekretnine/bjelovar-stan-zgradi-kat-79.65-m2-oglas-42200724,1,1
26,244.239 €,45.596796983514,17.224609048483,Daruvar,U stambenoj zgradi,Jednoetažni,4-sobni,4.,143,https://www.njuskalo.hr/nekretnine/stan-prodaja-daruvar-143.67m2-oglas-39993662,1,2
27,135.679 €,45.91377092714,16.86087955783,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,71,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-73.34m2-oglas-40338945,1,
28,166.740 €,45.8961855,16.8393499,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,3.,79,https://www.njuskalo.hr/nekretnine/bjelovar-centar-projekt-frankopanska-oglas-41430965,1,1
29,138.000 €,,,Bjelovar,U kući,Jednoetažni,4-sobni,Potkrovlje,120,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-potkrovlju-pripadci-bjelovar-120-m-oglas-41639017,1,1
30,171.000 €,45.920839283617,16.865518895549,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,90,https://www.njuskalo.hr/nekretnine/novogradnja-oglas-41963799,2,2
31,160.000 €,45.91584777828166,16.85926079750061,Bjelovar,U stambenoj zgradi,Dvoetažni,5+ sobni,1.,118,https://www.njuskalo.hr/nekretnine/stan-bjelovar-118.00-m2-novogradnja-oglas-40293858,2,
32,170.000 €,,,Bjelovar,U stambenoj zgradi,Jednoetažni,4-sobni,Visoko potkrovlje,116,https://www.njuskalo.hr/nekretnine/bjelovar-centar-4-sobni-stan-116.75-m2-101.33-m2-tavan-oglas-40227550,1,1
33,147.000 €,45.901498358552,16.834288109019,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,84,https://www.njuskalo.hr/nekretnine/stan-bjelovar-75.00-m2-novogradnja-oglas-30389333,1,
34,20.000 €,45.901193576547165,16.858852082596012,Bjelovar,U kući,Jednoetažni,1-sobni,Prizemlje,50,https://www.njuskalo.hr/nekretnine/stan-bjelovar-grgura-ninskog-50.00-m2-oglas-41851465,1,1
35,165.000 €,45.918068236576,16.837977093191,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,87,https://www.njuskalo.hr/nekretnine/prodajem-stan-oglas-39470044,1,
