linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
6777,165.000 €,45.337341938164,14.422193990451,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,1.,63,https://www.njuskalo.hr/nekretnine/podmurvice-2sdb-balkon-pogled-more-oglas-42145962,1,
6778,1.200.000 €,45.33479471755,14.305335912431,Opatija,U stambenoj zgradi,Dvoetažni,4-sobni,,205,https://www.njuskalo.hr/nekretnine/opatija-50m-mora-stan-200-m2-okucnica-parking-oglas-42145959,2,
6779,380.000 €,45.125969761398,14.529383273543,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,80,https://www.njuskalo.hr/nekretnine/otok-krk-malinska-apartman-novogradnji-bazenom-okucnicom-oglas-42145860,2,2
6780,340.000 €,45.12775270844,14.527739862461,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,3-sobni,2.,80,https://www.njuskalo.hr/nekretnine/otok-krk-malinska-apartman-novogradnji-pogledom-oglas-42145859,2,2
6781,115.000 €,45.323884065628,14.478639974548,Rijeka,U stambenoj zgradi,Jednoetažni,1-sobni,1.,35,https://www.njuskalo.hr/nekretnine/rijeka-gornja-vezica-1s-kl-stan-lodom-1-kat-pogled-oglas-42145857,1,
6782,306.000 €,45.335272802681,14.303536405428,Opatija,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,90,https://www.njuskalo.hr/nekretnine/opatija-2s-db-oglas-42145824,,
6783,185.000 €,45.334366367797,14.304314874367,Opatija,U stambenoj zgradi,Jednoetažni,2-sobni,3.,43,https://www.njuskalo.hr/nekretnine/opatija-2skl-stan-oglas-42145823,,
6784,290.500 €,45.334936452989,14.305086903408,Opatija,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,86,https://www.njuskalo.hr/nekretnine/opatija-etaza-obnovljenoj-vili-oglas-42145817,1,
6785,65.000 €,45.385820958704,14.409973836965,Viškovo,U stambenoj zgradi,Jednoetažni,Garsonijera,Prizemlje,23,https://www.njuskalo.hr/nekretnine/sarsoni-novogradnja-garsonijera-oglas-42145795,,
6786,65.000 €,45.386620269738,14.410628837099,Viškovo,U stambenoj zgradi,Jednoetažni,Garsonijera,Prizemlje,23,https://www.njuskalo.hr/nekretnine/sarsoni-novogradnja-garsonijera-oglas-42145794,,
6787,28.000 €,45.428305817827,15.009767924088,Vrbovsko,U kući,Jednoetažni,3-sobni,,70,https://www.njuskalo.hr/nekretnine/gorski-kotar-moravice-70m2-3-sobni-stan-garaza-oglas-42145791,,
6788,249.000 €,45.333688314441,14.435051823575,Rijeka,U stambenoj zgradi,Jednoetažni,4-sobni,,119,https://www.njuskalo.hr/nekretnine/rijeka-potok-119.91m2-3s-db-2-balkona-oglas-42145790,,
6789,170.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,49,https://www.njuskalo.hr/nekretnine/rijeka-centar-49.67m2-stan-strogom-centru-oglas-42145788,,
6790,140.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,2-sobni,4.,29,https://www.njuskalo.hr/nekretnine/predivan-moderan-stan-1s-db-siri-centar-oglas-42145785,1,
6791,405.000 €,45.372458392242,14.330124187073,Kastav,U stambenoj zgradi,Jednoetažni,4-sobni,1.,110,https://www.njuskalo.hr/nekretnine/kastav-moderan-3s-db-110m2-pogled-more-oglas-42145776,1,1
