linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1874,149.580 €,,,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,1.,55,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-s5-retkovec-55-m2-prvi-kat-3s-oglas-42136769,,
1875,149.580 €,,,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,55,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-s2-retkovec-55-m2-prizemlje-3s-oglas-42136768,,
1876,86.000 €,,,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,43,https://www.njuskalo.hr/nekretnine/zagreb-studentski-grad-43.00-m2-adaptaciju-oglas-42070580,1,
1877,168.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,1.,66,https://www.njuskalo.hr/nekretnine/zagreb-centar-dvosobni-gradanski-stan-66m2-oglas-42050470,1,1
1878,240.000 €,,,Črnomerec,U stambenoj zgradi,Jednoetažni,4-sobni,3.,86,https://www.njuskalo.hr/nekretnine/zagreb-sveti-duh-86.00-m2-4s-novoadaptiran-oglas-42025832,2,2
1879,270.000 €,45.846625,15.9774549,Podsljeme,U stambenoj zgradi,Jednoetažni,3-sobni,2.,95,https://www.njuskalo.hr/nekretnine/gracani-3.5-sobni-stan-garazom-parkirnim-mjestom-ostavom-oglas-41925842,1,2
1880,170.000 €,45.7946569,16.0086072,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,7.,70,https://www.njuskalo.hr/nekretnine/dvosoban-stan-70.19m2-sachsova-folnegovicevo-7-kat-loggia-oglas-41917820,1,1
1881,215.000 €,,,Stenjevec,U stambenoj zgradi,Jednoetažni,3-sobni,7.,66,https://www.njuskalo.hr/nekretnine/prodaje-se-trosoban-stan-spanskom-savska-opatovina-odlicnom-stan-oglas-41796733,1,1
1882,380.000 €,45.796479481474,15.926194160188,Trešnjevka - Sjever,U stambenoj zgradi,Dvoetažni,5+ sobni,2.,144,https://www.njuskalo.hr/nekretnine/novogradnja-penthouse-144-m2-rudes-parking-uskoro-zavrsetak-oglas-41684835,2,3
1883,115.000 €,45.8322836,16.058859,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,2-sobni,2.,43,https://www.njuskalo.hr/nekretnine/dvosoban-stan-43-m2-gavazzijeva-dubrava-spremiste-2-kat-oglas-41676948,1,1
1884,520.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,5+ sobni,2.,152,https://www.njuskalo.hr/nekretnine/peterosoban-penthouse-153m2-gornji-bukovac-remete-oglas-41785421,2,1
